CustomCryptofTomorrow;0;False;False;1;0;1;1
32;0;0;10;14;10;0
33;11;0;10;14;10;0
34;22;0;10;14;10;0
36;33;0;10;14;10;0
39;44;0;10;14;10;0
40;55;0;10;14;10;0
41;66;0;10;14;10;0
43;77;0;10;14;10;0
44;88;0;10;14;10;0
45;99;0;10;14;10;0
46;110;0;10;14;10;0
47;121;0;10;14;10;0
48;132;0;10;14;10;0
49;143;0;10;14;10;0
50;154;0;10;14;10;0
51;165;0;10;14;10;0
52;176;0;10;14;10;0
53;187;0;10;14;10;0
54;198;0;10;14;10;0
55;209;0;10;14;10;0
56;220;0;10;14;10;0
57;231;0;10;14;10;0
58;242;0;10;14;10;0
59;253;0;10;14;10;0
60;264;0;10;14;10;0
61;275;0;10;14;10;0
62;286;0;10;14;10;0
63;297;0;10;14;10;0
65;308;0;10;14;10;0
66;319;0;10;14;10;0
67;330;0;10;14;10;0
68;341;0;10;14;10;0
69;352;0;10;14;10;0
70;363;0;10;14;10;0
71;374;0;10;14;10;0
72;385;0;10;14;10;0
73;396;0;10;14;10;0
74;407;0;10;14;10;0
75;418;0;10;14;10;0
76;429;0;10;14;10;0
77;440;0;10;14;10;0
78;451;0;10;14;10;0
79;462;0;10;14;10;0
80;473;0;10;14;10;0
81;484;0;10;14;10;0
82;495;0;10;14;10;0
83;506;0;10;14;10;0
84;517;0;10;14;10;0
85;528;0;10;14;10;0
86;539;0;10;14;10;0
87;550;0;10;14;10;0
88;561;0;10;14;10;0
89;572;0;10;14;10;0
90;583;0;10;14;10;0
91;594;0;10;14;10;0
92;605;0;10;14;10;0
93;616;0;10;14;10;0
95;627;0;10;14;10;0
96;638;0;10;14;10;0
97;649;0;10;14;10;0
98;660;0;10;14;10;0
99;671;0;10;14;10;0
100;682;0;10;14;10;0
101;693;0;10;14;10;0
102;704;0;10;14;10;0
103;715;0;10;14;10;0
104;726;0;10;14;10;0
105;737;0;10;14;10;0
106;748;0;10;14;10;0
107;759;0;10;14;10;0
108;770;0;10;14;10;0
109;781;0;10;14;10;0
110;792;0;10;14;10;0
111;803;0;10;14;10;0
112;814;0;10;14;10;0
113;825;0;10;14;10;0
114;836;0;10;14;10;0
115;847;0;10;14;10;0
116;858;0;10;14;10;0
117;869;0;10;14;10;0
118;880;0;10;14;10;0
119;891;0;10;14;10;0
120;902;0;10;14;10;0
121;913;0;10;14;10;0
122;924;0;10;14;10;0
124;935;0;10;14;10;0
14038;0;15;16;16;16;0
17868;17;15;16;16;16;0
19968;34;15;16;16;16;0
19969;51;15;16;16;16;0
19971;68;15;16;16;16;0
19975;85;15;16;16;16;0
19976;102;15;16;16;16;0
19977;119;15;16;16;16;0
19978;136;15;16;16;16;0
19979;153;15;16;16;16;0
19981;170;15;16;16;16;0
19982;187;15;16;16;16;0
19983;204;15;16;16;16;0
19984;221;15;16;16;16;0
19985;238;15;16;16;16;0
19987;255;15;16;16;16;0
19988;272;15;16;16;16;0
19989;289;15;16;16;16;0
19990;306;15;16;16;16;0
19992;323;15;16;16;16;0
19993;340;15;16;16;16;0
19994;357;15;16;16;16;0
19995;374;15;16;16;16;0
19996;391;15;16;16;16;0
19997;408;15;16;16;16;0
19998;425;15;16;16;16;0
19999;442;15;16;16;16;0
20002;459;15;16;16;16;0
20004;476;15;16;16;16;0
20005;493;15;16;16;16;0
20006;510;15;16;16;16;0
20007;527;15;16;16;16;0
20010;544;15;16;16;16;0
20011;561;15;16;16;16;0
20013;578;15;16;16;16;0
20016;595;15;16;16;16;0
20018;612;15;16;16;16;0
20020;629;15;16;16;16;0
20024;646;15;16;16;16;0
20025;663;15;16;16;16;0
20026;680;15;16;16;16;0
20027;697;15;16;16;16;0
20029;714;15;16;16;16;0
20030;731;15;16;16;16;0
20034;748;15;16;16;16;0
20035;765;15;16;16;16;0
20037;782;15;16;16;16;0
20040;799;15;16;16;16;0
20041;816;15;16;16;16;0
20043;833;15;16;16;16;0
20044;850;15;16;16;16;0
20045;867;15;16;16;16;0
20046;884;15;16;16;16;0
20047;901;15;16;16;16;0
20048;918;15;16;16;16;0
20050;935;15;16;16;16;0
20051;952;15;16;16;16;0
20052;969;15;16;16;16;0
20054;986;15;16;16;16;0
20056;1003;15;16;16;16;0
20057;1020;15;16;16;16;0
20060;1037;15;16;16;16;0
20061;1054;15;16;16;16;0
20062;1071;15;16;16;16;0
20063;1088;15;16;16;16;0
20064;1105;15;16;16;16;0
20065;1122;15;16;16;16;0
20070;1139;15;16;16;16;0
20073;1156;15;16;16;16;0
20080;1173;15;16;16;16;0
20081;1190;15;16;16;16;0
20083;1207;15;16;16;16;0
20094;1224;15;16;16;16;0
20098;1241;15;16;16;16;0
20102;1258;15;16;16;16;0
20104;1275;15;16;16;16;0
20105;1292;15;16;16;16;0
20107;1309;15;16;16;16;0
20108;1326;15;16;16;16;0
20109;1343;15;16;16;16;0
20110;1360;15;16;16;16;0
20111;1377;15;16;16;16;0
20113;1394;15;16;16;16;0
20114;1411;15;16;16;16;0
20115;1428;15;16;16;16;0
20116;1445;15;16;16;16;0
20117;1462;15;16;16;16;0
20120;1479;15;16;16;16;0
20121;1496;15;16;16;16;0
20122;1513;15;16;16;16;0
20123;1530;15;16;16;16;0
20126;1547;15;16;16;16;0
20127;1564;15;16;16;16;0
20129;1581;15;16;16;16;0
20130;1598;15;16;16;16;0
20132;1615;15;16;16;16;0
20133;1632;15;16;16;16;0
20134;1649;15;16;16;16;0
20135;1666;15;16;16;16;0
20136;1683;15;16;16;16;0
20137;1700;15;16;16;16;0
20139;1717;15;16;16;16;0
